id,name,year,rank
206631,The Spring,1972,7.5
404875,The Spring of Life,1960,3.9
285178,Her Eyes,2001,6.4
1683042,There Are Things You Don't Know,2010,7.2
7719186,Chocolate,2017,4.7
1343028,The Liar Shepherd,2006,7.3
336164,Churi,2001,7.2
5821276,Bench Cinema,2016,7.8
11773204,Cinema Shahre Gheseh,2020,4.9
1684628,Circumstance,2011,5.8
3507794,City of Mice 2,2014,6.1
3667264,Closer,2015,5.7
5906834,Cold Breath,2017,7.6
12094024,Wife's Club,2019,3.3
9899880,Columbus,2018,4.0
441611,Coma,2004,5.5
6224580,The Human Comedy,2017,4.3
6281320,Conditional Release,2017,5.4
3716078,Crime Scene-No Entry,2007,5.7
10987040,Crocodile,2019,4.0
13387200,Crows,2020,7.2
168682,Daan,1998,6.7
1090310,The Highschool,1986,5.2
1086846,Dada,1983,5.7
433957,Branded,1965,4.8
301978,Ten,2002,7.4
7271236,Dakal,1996,4.8
259265,Daughters of the Sun,2000,6.8
5376718,Dalahoo,1967,5.4
477607,Day Break,2005,6.9
99352,Snake's Fang,1990,6.1
1112666,Dane-haye gandom,1981,6.4
376554,Tiny Snowflakes,2003,6.9
283303,Danza con los sueños,2001,7.7
2669634,Along City,2011,4.0
72843,Far from Home,1975,7.0
5791288,Dar Moddat-e-Maloom,2015,5.0
9056646,Bearer,2018,5.3
4108894,What's the Time in Your World?,2014,7.1
77398,Along the Night,1977,6.5
122450,Eye of the Hurricane,1989,6.3
1328613,Among the Clouds,2008,7.0
1998202,Dar shahr khabari nist,2007,5.6
4634290,Dara O Nadar,1999,5.3
3269074,Trapped,2013,6.3
2417530,111 Girls,2012,7.1
1360860,Darbareye Elly,2009,8.0
4242682,Exclusive,2015,5.5
5224720,Morning is Close,2015,4.3
9642950,Darkhoongah,2019,5.7
6217724,Axing,2018,5.7
313747,Valley of the Butterflies,1991,6.5
6243086,Fish Lake,2017,4.0
10385482,Dash Akol,2018,4.3
66968,Dash akol,1971,7.1
12792588,The Wasteland,2020,5.7
293076,The Red Plain,1968,4.6
6940740,Manuscripts,1987,5.0
2912144,Manuscripts Don't Burn,2013,7.2
6744318,Dastan Ma-Ghese To,2012,5.5
419675,Story Undone,2004,6.8
5775176,The Devil's Hand,1982,2.4
92833,The Peddler,1987,6.8
1934227,Corrupt Hands,2000,4.9
2186858,Dasthay-e khali,2007,4.8
88992,The Runner,1984,7.8
1291182,Invitation,2008,5.3
6209540,Invitation,2017,4.3
1629248,The Earth Marathon,2010,5.6
255094,The Circle,2000,7.4
4359278,Dayereh Sorkh,1996,4.6
77403,The Cycle,1977,7.4
1170393,Tambourine,2008,6.9
6607602,Dead End of Trust,2017,7.2
11591652,Dear Day,2012,5.4
99392,The Scout,1989,6.3
431017,The Golden Village,1965,6.0
3059786,The Corridor,2013,6.8
125718,The Love-stricken,1992,7.4
961046,Del va deshne,1994,6.9
2392355,Restless hearts,1971,5.4
793499,Knights of Delgosha Alley,1992,5.4
293082,Delbaran,2001,6.5
6220056,Charm,2016,4.7
2351576,Deldadeh,2008,3.8
411276,Anxiety,1962,7.2
1826650,Bleeding Heart,2009,4.5
3820086,Romantic Nostalgia,2014,4.7
2914020,Democracy in Daylight,2010,3.8
3131744,Deportees 3,2011,2.5
187809,The Pear Tree,1998,7.6
5842802,Dracula,2016,3.6
317342,The Dagger,1972,6.4
129872,Det Means Girl,1995,6.0
377772,Two Angels,2003,6.0
8346906,Devil's Daughter,2019,2.6
11158436,Diapason,2019,7.0
1116752,Land of Lovers,1984,4.6
9899860,Watching This Movie Is a Crime,2019,6.3
